Country or region,Cases,Deaths,Fatality (%)
China,5327,349,6.6
Hong Kong,1755,299,17
Taiwan,346,73,21.1
Canada,251,43,17.1
Singapore,238,33,13.9
Vietnam,63,5,7.9
United States,27,0,0
Philippines,14,2,14.3
Thailand,9,2,22.2
Germany,9,0,0
Mongolia,9,0,0
France,7,1,14.3
Australia,6,0,0
Malaysia,5,2,40
Sweden,5,0,0
United Kingdom,4,0,0
Italy,4,0,0
India,3,0,0
South Korea,3,0,0
Indonesia,2,0,0
South Africa,1,1,100
Kuwait,1,0,0
Ireland,1,0,0
Macau,1,0,0
New Zealand,1,0,0
Romania,1,0,0
Russia,1,0,0
Spain,1,0,0
Switzerland,1,0,0
